q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B8A_01,8A_Ham_SUMIF,Công thức tổng quát của hàm SUMIF là gì?,=SUMIF(range; criteria; [sum_range]),=SUMIF(criteria; range; [sum_range]),=SUM(range; criteria),=IF(criteria; range; sum_range),A,Nhận biết,Tin 9 - CTST - Bài 8A
K9B8A_02,8A_Ham_SUMIF,Trong hàm SUMIF tham số "range" có ý nghĩa gì?,Là vùng chứa các giá trị cần tính tổng,Là vùng chứa dữ liệu để kiểm tra điều kiện,Là điều kiện cần kiểm tra,Là kết quả trả về,B,Nhận biết,Tin 9 - CTST - Bài 8A
K9B8A_03,8A_Ham_SUMIF,Tham số "sum_range" trong hàm SUMIF là gì?,Vùng chứa điều kiện,Vùng dữ liệu thực tế cần tính tổng (nếu khác vùng điều kiện),Vùng chứa tiêu đề bảng,Vùng chứa kết quả,B,Nhận biết,Tin 9 - CTST - Bài 8A
K9B8A_04,8A_Ham_SUMIF,Điều gì xảy ra nếu bỏ qua tham số "sum_range" trong hàm SUMIF?,Hàm sẽ báo lỗi và không tính toán được,Hàm sẽ trả về giá trị 0,Hàm sẽ sử dụng chính vùng "range" (vùng điều kiện) để tính tổng,Hàm sẽ tính tổng tất cả các ô trong bảng tính,C,Nhận biết,Tin 9 - CTST - Bài 8A
K9B8A_05,8A_Ham_SUMIF,Chức năng chính của hàm SUMIF là gì?,Đếm số lượng ô thỏa mãn điều kiện,Tính trung bình cộng các ô thỏa mãn điều kiện,Tính tổng các giá trị trong một vùng thỏa mãn điều kiện cho trước,Tìm giá trị lớn nhất theo điều kiện,C,Nhận biết,Tin 9 - CTST - Bài 8A
K9B8A_06,8A_Ham_SUMIF,Để tính tổng doanh thu các mặt hàng có số lượng bán "Lớn hơn 100" điều kiện (criteria) cần viết như thế nào?,>100,">100","Lat hon 100",100+,B,Thông hiểu,Tin 9 - CTST - Bài 8A
K9B8A_07,8A_Ham_SUMIF,Ký tự đại diện "*" trong điều kiện hàm SUMIF (ví dụ "A*") có ý nghĩa gì?,Đại diện cho một ký tự duy nhất,Đại diện cho bất kỳ chuỗi ký tự nào bắt đầu bằng A,Đại diện cho số 0,Là dấu nhân,B,Thông hiểu,Tin 9 - CTST - Bài 8A
K9B8A_08,8A_Ham_SUMIF,Giả sử cột A chứa tên hàng, cột B chứa số tiền. Công thức =SUMIF(A:A; "Bút*"; B:B) sẽ tính tổng tiền của những mặt hàng nào?,Chỉ mặt hàng tên là "Bút",Mọi mặt hàng có tên bắt đầu bằng chữ "Bút" (ví dụ: Bút bi, Bút chì...),Mọi mặt hàng trừ Bút,Tất cả các mặt hàng,B,Thông hiểu,Tin 9 - CTST - Bài 8A
K9B8A_09,8A_Ham_SUMIF,Nếu em dùng công thức =SUMIF(D2:D20; "Táo"; D2:D20) để tính tổng các ô chứa chữ "Táo" trong cột văn bản D kết quả sẽ là gì?,Tổng số lượng chữ Táo,Báo lỗi hoặc trả về 0 (vì không thể cộng các chuỗi văn bản),Nối các chữ Táo lại với nhau,Đếm số ô có chữ Táo,B,Thông hiểu,Tin 9 - CTST - Bài 8A
K9B8A_10,8A_Ham_SUMIF,Trong bảng quản lý chi tiêu: Cột B là "Loại khoản chi", Cột C là "Số tiền". Để tính tổng tiền cho khoản "Ăn uống" công thức nào đúng?,=SUMIF(B:B; "Ăn uống"; C:C),=SUMIF(C:C; "Ăn uống"; B:B),=SUMIF(B:B; C:C; "Ăn uống"),=COUNTIF(B:B; "Ăn uống"),A,Vận dụng,Tin 9 - CTST - Bài 8A
K9B8A_11,8A_Ham_SUMIF,Để tính tổng các số tiền trong cột C (C2:C100) mà có giá trị nhỏ hơn 50.000đ công thức là gì?,=SUMIF(C2:C100; "<50000"),=SUMIF(C2:C100; <50000; C2:C100),=SUM(C2:C100) - 50000,=SUMIF(C2:C100; "Small 50000"),A,Vận dụng,Tin 9 - CTST - Bài 8A
K9B8A_12,8A_Ham_SUMIF,Em muốn tính tổng các số chẵn trong vùng A1:A10. Em có thể dùng hàm SUMIF trực tiếp với điều kiện "ISEVEN" được không?,Được chỉ cần gõ =SUMIF(A1:A10; "ISEVEN"),Không thể dùng trực tiếp SUMIF mà cần cột phụ hoặc công thức mảng phức tạp hơn,Được nếu dùng Excel phiên bản cũ,Được nếu dùng hàm SUM,B,Vận dụng,Tin 9 - CTST - Bài 8A